2018-08-03T13:45:27.108Z - info: Website generation started at 21:45:27
2018-08-03T13:45:28.569Z - info: Building assets...
2018-08-03T13:45:30.262Z - info: Assets built
2018-08-03T13:45:30.262Z - info: Generating pages...
2018-08-03T13:46:26.834Z - info: Pages built
2018-08-03T13:46:26.899Z - info: Site data built
2018-08-03T13:46:26.899Z - info: Website generation complete! Total build time: 59.801s
2018-08-03T13:46:26.912Z - info: Generate Site durationMs=59814
2018-08-03T13:46:26.935Z - info: Serving "C:\repos\nus-tic2002-2018\website\_site" at http://127.0.0.1:8080
2018-08-03T13:46:26.935Z - info: Press CTRL+C to stop ...
2018-08-03T13:49:31.177Z - info: [21:49:31] Reload for file add: C:\repos\nus-tic2002-2018\website\tic2002-website.iml
2018-08-03T13:49:31.181Z - info: [21:49:31] Reload for file change: C:\repos\nus-tic2002-2018\website\tic2002-website.iml
2018-08-03T13:49:32.237Z - info: Assets built
2018-08-03T13:49:33.222Z - info: [21:49:33] Reload for file change: C:\repos\nus-tic2002-2018\website\book\uml\sequenceDiagrams\referenceFrames\index.md
2018-08-03T13:49:33.236Z - info: [21:49:33] Reload for file change: C:\repos\nus-tic2002-2018\website\book\uml\sequenceDiagrams\selfInvocation\index.md
2018-08-03T13:49:33.237Z - info: [21:49:33] Reload for file change: C:\repos\nus-tic2002-2018\website\book\uml\topicToc.md
2018-08-03T13:49:34.230Z - verbose: Rebuild affected paths: C:\repos\nus-tic2002-2018\website\book\uml\sequenceDiagrams\referenceFrames\index.md,C:\repos\nus-tic2002-2018\website\book\uml\sequenceDiagrams\selfInvocation\index.md,C:\repos\nus-tic2002-2018\website\book\uml\topicToc.md
2018-08-03T13:49:34.232Z - info: Rebuilding 0 pages
2018-08-03T13:49:34.232Z - info: Pages rebuilt
2018-08-03T13:49:34.258Z - info: Site data built
2018-08-03T13:49:34.962Z - info: [21:49:34] Reload for file change: C:\repos\nus-tic2002-2018\website\book\oop\more\review\index.md
2018-08-03T13:49:34.969Z - info: [21:49:34] Reload for file change: C:\repos\nus-tic2002-2018\website\book\oop\more\path.md
2018-08-03T13:49:34.975Z - info: [21:49:34] Reload for file change: C:\repos\nus-tic2002-2018\website\book\oop\more\index.md
2018-08-03T13:49:34.986Z - info: [21:49:34] Reload for file change: C:\repos\nus-tic2002-2018\website\book\oop\more\miscellaneous\index.md
2018-08-03T13:49:34.996Z - info: [21:49:34] Reload for file change: C:\repos\nus-tic2002-2018\website\book\oop\classes\what\index.md
2018-08-03T13:49:35.013Z - info: [21:49:35] Reload for file change: C:\repos\nus-tic2002-2018\website\book\oop\classes\index.md
2018-08-03T13:49:35.022Z - info: [21:49:35] Reload for file change: C:\repos\nus-tic2002-2018\website\book\oop\classes\enumerations\index.md
