2018-09-16T07:10:31.627Z - info: Website generation started at 15:10:17
2018-09-16T07:11:25.623Z - info: Building assets...
2018-09-16T07:11:43.260Z - info: Assets built
2018-09-16T07:11:43.261Z - info: Generating pages...
2018-09-16T07:12:57.042Z - info: Pages built
2018-09-16T07:12:57.676Z - info: Site data built
2018-09-16T07:12:57.677Z - info: Website generation complete! Total build time: 160.018s
2018-09-16T07:12:57.686Z - info: Generate Site durationMs=160026
2018-09-16T07:12:58.251Z - info: Serving "C:\repos\nus-tic2002-2018\website\_site" at http://127.0.0.1:8080
2018-09-16T07:12:58.252Z - info: Press CTRL+C to stop ...
2018-09-16T08:29:10.389Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\modeling\modelingBehaviors\sequenceDiagramsBasic\q-essay-findNotationMistakes.md
2018-09-16T08:29:10.390Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\text.md
2018-09-16T08:29:10.390Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\about\text.md
2018-09-16T08:29:10.390Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\javaWorld\text.md
2018-09-16T08:29:10.390Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\javaWorld\what\text.md
2018-09-16T08:29:10.390Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\javaWorld\how\text.md
2018-09-16T08:29:10.390Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\javaWorld\editions\text.md
2018-09-16T08:29:10.390Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\gettingStarted\text.md
2018-09-16T08:29:10.391Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\gettingStarted\installation\text.md
2018-09-16T08:29:10.391Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\gettingStarted\helloWorld\text.md
2018-09-16T08:29:10.391Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\gettingStarted\compiling\text.md
2018-09-16T08:29:10.391Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\gettingStarted\running\text.md
2018-09-16T08:29:10.391Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\dataTypes\text.md
2018-09-16T08:29:10.391Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\dataTypes\primitiveTypes\text.md
2018-09-16T08:29:10.392Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\dataTypes\variables\text.md
2018-09-16T08:29:10.392Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\dataTypes\operators\text.md
2018-09-16T08:29:10.392Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\dataTypes\arrays\text.md
2018-09-16T08:29:10.392Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\controlFlow\text.md
2018-09-16T08:29:10.392Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\controlFlow\branching\text.md
2018-09-16T08:29:10.392Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\controlFlow\methods\text.md
2018-09-16T08:29:10.392Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\controlFlow\loops\text.md
2018-09-16T08:29:10.393Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\objects\text.md
2018-09-16T08:29:10.393Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\objects\usingObjects\text.md
2018-09-16T08:29:10.393Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\objects\instanceMembers\text.md
2018-09-16T08:29:10.393Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\objects\passingObjects\text.md
2018-09-16T08:29:10.393Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\objects\garbageCollection\text.md
2018-09-16T08:29:10.393Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\classes\text.md
2018-09-16T08:29:10.394Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\classes\definingClasses\text.md
2018-09-16T08:29:10.394Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\classes\gettersAndSetters\text.md
2018-09-16T08:29:10.394Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\classes\classLevelMembers\text.md
2018-09-16T08:29:10.394Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\usefulClasses\text.md
2018-09-16T08:29:10.394Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\usefulClasses\api\text.md
2018-09-16T08:29:10.394Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\usefulClasses\stringClass\text.md
2018-09-16T08:29:10.395Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\usefulClasses\wrapperClasses\text.md
2018-09-16T08:29:10.395Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\usefulClasses\arraysClass\text.md
2018-09-16T08:29:10.395Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\inheritance\text.md
2018-09-16T08:29:10.395Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\inheritance\basic\text.md
2018-09-16T08:29:10.395Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\inheritance\objectClass\text.md
